machine,cutbag,cylinder,max_colors,quantity_available
Narrow Gravure,420,470,7,7
Narrow Gravure,450,500,7,7
Narrow Gravure,500,550,7,7
Narrow Gravure,550,600,7,7
Narrow Gravure,600,650,7,7
Wider Gravure,680,750,8,8
Wider Gravure,750,800,8,8
New Flexo,300,300,8,8
New Flexo,320,320,8,8
New Flexo,340,340,8,8
New Flexo,350,350,8,8
New Flexo,360,360,8,8
New Flexo,370,370,8,8
New Flexo,380,380,8,8
New Flexo,400,400,8,8
New Flexo,420,420,8,8
New Flexo,450,450,8,8
New Flexo,460,460,8,8
New Flexo,500,500,8,8
New Flexo,520,520,8,8
JK Flexo,300,300,6,6
JK Flexo,320,320,6,6
JK Flexo,340,340,6,6
JK Flexo,360,360,6,6
JK Flexo,380,380,6,6
JK Flexo,400,400,6,6
JK Flexo,430,430,6,6
JK Flexo,450,450,6,6
JK Flexo,460,460,6,6
JK Flexo,500,500,6,6
JK Flexo,550,550,6,6
JK Flexo,570,570,6,6
JK Flexo,580,580,6,6
Hyplass,260.35,260.35,8,6
Hyplass,279.4,279.4,8,6
Hyplass,311.15,311.15,8,6
Hyplass,330.2,330.2,8,6
Hyplass,361.95,361.95,8,6
Hyplass,381.0,381.0,8,6
Hyplass,406.4,406.4,8,6
Hyplass,412.75,412.75,8,6
Hyplass,463.55,463.55,8,6
Hyplass,514.35,514.35,8,6
Hyplass,539.75,539.75,8,6
Hyplass,558.8,558.8,8,6
Hyplass,571.5,571.5,8,6
Hyplass,615.95,615.95,8,6
Hyplass,641.35,641.35,8,6
Hyplass,711.2,711.2,8,6
Hyplass,812.8,812.8,8,6
Hyplass,762.0,762.0,8,6
Hyplass,914.4,914.4,8,6
